sender_id,message,length_of_message,consulate_location,visa_status,Questions,University_name,VisaInterviewDate
-1001285729190,"9th July 
New Delhi Consulate
Appointment Type: Regular

Slot time: 08:41 AM
In time: 08:10 AM
Out time: 08:40
Duration: < 1 min

VO is an American lady
4 or 5 counters open,  counter no.9

University: San Jose State University
Course: MS in Electrical Engineering
Approved ✅ 
http://t.me/f1interviewreviews

VO: Good Morning!
Me: Good Morning officer
VO:Please pass passport and i20
Me: paased
VO: How many schools did you apply?
Me: Apart from sjsu i applied to another 4
VO: what are they?
Me: University of South Florida, University of Colorado, Northern University and Oregon state university
Vo : Why sjsu
Me : I choose this university because it is located in silicon vally, professors here have worked for industries by learning under them i can get updated to latest aspects of technology and also electrical engineering in san jose ranked 3rd by us news... (interrupted)
VO: who is financing you
ME: My father
VO: what does he do?
ME: He runs a rice mill and also has agriculture land
VO: Only he is sponsoring for 4 semester
Me: Yes, he has a savings of 35L and also 40L of education loan
Then i listened what I have been waiting for
VO: *Your visa is approved.*
Me: Thank so much and doesn't listened the rest of his instructions


Note: 
Be confident, they are not checking any documents not even what you are saying, they are only listening to finance question answers be through in that. They are behaving like we are here to give you visa. So don't worry be confident. I didn't see any rejections in my time. Even a  girl before me bit tensed and asked vo to repeat questions all the questions vo repeated 2 time for her and she got her visa approved. So guys don't worry. *All the best*
@f1interviewreviews",1723,delhi,approved,"['vo: how many schools did you apply?', 'vo: what are they?', 'vo : why sjsu', 'vo: who is financing you', 'vo: what does he do?']",San Jose State University,9th July
-1001285729190,"My Visa Interview experience:

Background: Already having Master's Degree from VJTI in Electronics at 2011.

Slot time: 10.20 am
In time: 10.20 am
Out time : 11.05 am

Counter No. 32: Young person in his late 20s who speaks very softly.

Status: APPROVED✅
http://t.me/f1interviewreviews

VO: Good morning, Please pass your I20, passport and Selvis receipt.
Me: Good morning sir.
Passed the required docs

VO: What is your purpose of visit to the USA?
Me: To pursue MS in Electrical Engineering from CU Denver

VO: When did you complete you undergratuation?
Me: sir, I completed my undergraduation in 2008.

VO had his eyes wide spread after this answer 😂

VO: What did you do after graduation
Me: I prepared for GATE and did my M.Tech from VJTI in Electronics

VO: Why are you doing Masters Again?
Me: Told the details about the curriculum and courses offered by CU Denver MSEE

VO: How are you funding ?
Me: Told details of Finance

VO: Ok. please place your left hand four finger. Then those Golden words are spoken
"" I am approving your VISA.""
Blessed him from the bottom of my heart and left with a smile on the face.

Guys, just be confident and study your finances properly.
Guy on Counter no. 33 is grilling people over finances and Savings. Explain him in detail but to the point. Others are very calm and give you time to speak the reasons.
@f1interviewreviews",1369,NA,approved,"['vo: what is your purpose of visit to the usa?', 'vo: when did you complete you undergratuation?', 'vo: what did you do after graduation', 'vo: why are you doing masters again?', 'vo: how are you funding ?']",,
-1001285729190,"Date - 9th July 
Consulate- Mumbai 
Appointment-10:40 am
Status:  Approved 
Course: Ms in Cs

University of central missouri

In time : 10:50
http://t.me/f1interviewreviews
Out time: 11:30
Interview time: Hardly 30 Secs
Counter number 33 (Legendary Bald guy 👴)

VO: Good morning pass me your passport and i20.
Me: Good morning sir hope you are doing well .

VO: I said pass your documents (with a serious tone)
Me: passed.

VO: what is ur father?
Me : My father is a business man he is into agriculture business as well as he owns a brick firm industry.

VO : what is his annual income?
Me : 12Lpa 

VO : any savings ?
Me : 15L

VO : how r u gng to pay for this univ ?
Me : I have secured an education loan of 30 lacs from hdfc credila

VO : place ur left hand four fingers nd congratulations ur visa is approved .

Me: thank u sir u made my day.


Note : If u get bald just answer straight to his question not more than that 

Everyone says don't get tensed u will definitely feel tensed and u will have a little fear but once u enter into the waiting area everything is  calm and cool and by looking ppl over there u will forget all ur tensions and just be as cool and as normal as possible 😉

All the best for everyone🥳🥳🥳
@f1interviewreviews",1244,mumbai,approved,"['vo: what is ur father?', 'vo : what is his annual income?', 'vo : any savings ?', 'vo : how r u gng to pay for this univ ?']","Cs

University of central missouri",
-1001285729190,"F1 visa experience

OFC date: June 30th 2021
VI date: July 6th 2021
Kolkata consulate
Uni & Program: University of Illinois at Urbana Champaign
MS in Aerospace Engineering
Status: Approved ✅

OFC:
Arrive 30 minutes early. Earlier than that is not required.
They have a space to keep your bags.
I was only asked for my current passport, DS160 and appointment confirmation.
Biometrics done.
http://t.me/f1interviewreviews

VI:
I arrived an hour early.
VI time: 11 am
In time: 10:15 am
Out time: 10:45 am

I would advise against taking bags unless you are going with someone you know who can carry your stuff while you are in.
They have a place infront of the consulate where I kept my phone and sanitiser for Rs. 50.
I was allowed to carry my wallet.

2 counters were open.

VO was a chill Asian American male in his 20s. He was very calm and in a happy mood.

VO: Good morning. How are you doing?
Me: I am doing good. How are you?
VO: I am good too.
Me: Here are my passport, I20 and SEVIS fee receipt.
VO: Thank you
*Starts typing*
VO: Tell me about your study plans.
Me: I completed my BE in Mechanical Engineering from Ramaiah Institute of Technology, Bangalore which is affiliated to VTU. I graduated in 2020 with a cgpa of 9.46. I am going to the US to pursue my MS in Aerospace engineering from University of Illinois at Urbana Champaign.
*Awkward silence, VO typing...*
(I prepared concise to the point answers for many questions, and decided to only convey my points properly and not talk unnecessarily even if there is silence)
VO: What interests you in this course?
Me: I have always been interested in space and I did a summer course back in 2017 which further enhanced my interests. During my undergrad my primary focus was on design and structural analysis and I did numerous projects to augment my skills in this field. Now I wish to combine my childhood interests with my undergrad expertise and  pursue MS in Aerospace Engineering with structural mechanics as my specialization.
*Awkward silence for like 10 seconds, VO typing..*
VO: What will you be studying in this degree/course?
(I heard what did you study, so I started taking about my undergrad which is mechanical engineering)
*VO interrupted.. and told in Aerospace engineering*
Me: I will be majoring in structural mechanics.
VO: Oh Structural mechanics..
Me: So I will be taking up courses like FEA and solid mechanics which deals with stress strain and deformation...
VO interrupts.. 
VO: How are you paying for it?
Me: I have an education loan worth 40 lakhs INR from the ICICI bank and my father and uncle are also sponsoring my education.
VO: Here are your documents. I am keeping your passport.
Me: Thank your so much Sir. By when will I get the passport?
VO: You will get an email about it.
I left smiling.


I did not hear the golden words and my degree was Aerospace so I was skeptical whether as to have I actually got the visa or will they eventually put it on hold. But he did not mention about holds and I did not get any slips neither 221g nor approval slip (no one at the Kolkata consulate was getting approval slips afaik).
Later upon checking on ceac portal I found that my visa is issued and today (July 9th) I received my stamped passport. So, my visa was officially approved.

The visa groups were really helpful especially F1 visa interview experience group.

I was very nervous, could hear my heart beats but I took few deep breaths and kept myself calm.
All the best to everyone appearing for the interview. My only advice would be to be confident, keep all docs handy, be thoroughly prepared and be as honest as you can be.
@f1interviewreviews",3641,kolkata,approved,"['vo: good morning. how are you doing?', 'me: i am doing good. how are you?', 'vo: what interests you in this course?', 'vo: what will you be studying in this degree/course?', 'vo: how are you paying for it?', 'me: thank your so much sir. by when will i get the passport?']",University of Illinois at Urbana Champaign,June 30th 2021
-1001285729190,"9th July 
Chennai Counslate
Appointment Type: Regular

Slot time: 11 AM
In time: 11:15 AM
Out time: 11:45 AM
Duration: < 1 min

VO is an African American lady, counter 31

University: SUNY Buffalo

Course: MS in Data Science

Approved ✅ 

http://t.me/f1interviewreviews
VO: Hi, Can i see your passport?
Me: Hello, here you go *passes the passport*
Vo: please take off your mask so i could identify your face with the one on the passport
Me: *take my mask off*
VO: Great, you can put your mask back on now. Please place your right four fingers for scanning
Me: did that
Vo: please hand over your i20 and sevis fee reciept
Me: handed them over
Vo: which university are you planning to attend?
Me: im planning to attend University of Buffalo
Vo: which course?
Me: Ms in Data Science
Vo: when did you graduate?
Me: I will be completing my bachelor's degree and will be graduating this month
Vo: Oh Congratulations!
Me: Thank you
Vo: how are planning to fund your studies?
Me: my mother will be my main sponser
Vo: what does she do?
Me: She used to work in UAE as a telecom professional for 12 years. Last year, she resigned and moved back to India to start a business.
Vo: what are your plans after graduation?
Me: I plan on coming to India and work in a  good data science company.
Vo: like?
Me: said a few ds companies
Vo: what role would you want to work as?
Me: Start off as a data scientist then move on to a senior data science position in the company.
Vo: Great. Im approving your visa. Good luck!



Few tips:
-Arrive 20 mins before ur slot. Coming too early is pointless. 
-Dress code is flexible. I saw a few wearing polo shirt and jeans, with flip flops
-Relax. There is no reason to be nervous. I was definitely nervous, im a mechanical engineering student, my brother lives in buffalo as well. But they didnt ask any of that.
-All I saw was green slips coming out. Just be confident and be prepared to answer the basic questions.


Dm if you have any other questions. All the best guys!
@f1interviewreviews",2015,chennai,approved,"['vo: hi, can i see your passport?', 'vo: which university are you planning to attend?', 'vo: which course?', 'vo: when did you graduate?', 'vo: how are planning to fund your studies?', 'vo: what does she do?', 'vo: what are your plans after graduation?', 'vo: like?', 'vo: what role would you want to work as?']",University of Buffalo,9th July
-1001285729190,"My Visa Experience

8th July
Consulate - Delhi
Counter Number - 15
Status - Approved ✅✅
http://t.me/f1interviewreviews
Attempt - 1st (Regular)
In time - 10:45
Out Time - 11:20
Slot Time - 11:40
University - University of Colorado Boulder
Interview Duration - Less than a minute

Me: Good Morning !
VO: Please pass me your documents
Me: Here are the documents
VO: Where are are you going
Me: Sir, I am going to University of Colorado Boulder to pursue Ms in Electrical Engineering, Area of Specialization - Power Electronics
VO: What is your background in this field ?
Me: Sir, I just completed my BTech in electrical engineering with 8.97 CPI
VO: How are you going to fund ?
Me: Sir, we have assets of ___ Rs and education loan of 40 lakh rs
VO: Place your right hand on the scanner
Your Visa has been approved. 
Me: Thank you, sir
@f1interviewreviews",851,delhi,approved,"['vo: where are are you going', 'vo: what is your background in this field ?', 'vo: how are you going to fund ?']",University - University of Colorado,8th July
-1001285729190,"*Visa Interview Experience*
Consulate : Kolkata
Date : 9th July 2021
http://t.me/f1interviewreviews
Slot Time : 9:15AM
In Time : Reached there by 8.40. Had to wait in the queue for about 20-25 mins, then we were let in 
Out Time : Around 9.15 - 9.20 AM 
University : california state university los angeles
Course : MS in Management Information Systems 
Status : Approved ✅
Total Time of Interview : Less than a min
Counter :it was the middle counter (5). In total 3 counters were open. My VO was a guy in his 30s with shaved head ,Was chilled and gave me a positive vibe.

Everyone during my interview got their visas approved. I did not see any rejections.


VO: good morning 
Me : Good morning Officer
VO : Pass me your I20 and Passport
Me : Passed
VO : Tell me about your program
(Started the answer with a 10sec gap, also stammered in between)
Me : Sir I always had passion towards technology and being a business oriented family i had my interest towards management as well! So i was at a point where i felt i need to learn both technological and business oriented things together. And i found this course which is right blend of both business and technology subjects!

VO : How are you funding your Masters

Me :Sir i have secured an education loan worth 40L from state bank of india, additionally we have immovable assets worth 10crores and movable assets 60L.
VO : Congratulations, your visa is approved. You will receive the passport in a week.
Me : Thank you sir, have a great day
@f1interviewreviews",1511,kolkata,approved,['vo : how are you funding your masters'],california state university,9th July 2021
-1001285729190,"July 9th,8.30 slot
Rejected
Chennai
Indian VO
Kennesaw State University 
http://t.me/f1interviewreviews
Before he asked general questions reg undergraduate and regarding funding, I mentioned my loan is 54 lakhs,20 lakhs savings,out of state wavier and 3.16 crores worth of immovable property.
and after that...

VO: How many College applied
me:I have applied one
VO:Why?
me: Explained (in middle he interrupted)
Vo:then  asked How do you repay loan
 me: I would like to work as software engineer back in india and repay and my family also support me
@f1interviewreviews",569,chennai,rejected,"['vo: how many college applied', 'vo:why?']",Kennesaw State University,
-1001285729190,"Visa experience - 09/07/2021
Approved ✅ 
Delhi consulate
Slot Time : 10:10 am
In time - 09:30
http://t.me/f1interviewreviews

out - 10:10
Interview time : 40 sec
Vo is an American men in his early 40's 

Uni: Lamar University
Course : MS in CS

I got counter - 17

Vo: Please pass me ur passport and i20
Me: sure sir (passed my docs)

Vo: why u have chosen this course?
Me: I have done a project in my undergraduate on Natural Language processing. Since, then I'm very much interested in this technology and I want to learn the new advancements in NLP with my research work. 
I'm also doing certain online courses to ease course work.

VO: what is NLP ? 
Me: sir, it's a technique used to help computers to understand the human language and respond back in humans native language.

Vo: where do we use the NLP in real 
      world??
Me: Alexa and (interrupted..)

Vo: How are you funding your trip?
Me: Apart from the scholarship, I got the loan sanctioned of 25 lakhs from Canara Bank, on top of that my father is funding my master's with the savings of 20lakhs ( interrupted... And took my passport aside) 

Vo: your visa has been approved and some COVID regulations.
Me: thank you so much sir!
@f1interviewreviews",1216,delhi,approved,"['vo: why u have chosen this course?', 'vo: what is nlp ? ', 'vo: where do we use the nlp in real ', '      world??', 'vo: how are you funding your trip?']",Lamar University,
-1001285729190,"9th July
Consulate: New Delhi
Slot: 10:40
In time: 10:10
Out time: 10:40
Status APPROVED ✅


Interview Duration: 1 minutes
Counter No: 19 (VO was a white American guy in his late 30s)
University : University of Maryland, College Park
Course: Cybersecurity
http://t.me/f1interviewreviews


Vo: Good Morning!
Me: Good Morning officer! 
VO: Please pass me your i20
Me: There you go
Vo: Place your four fingers of the right hand in the scanner.
VO: What are going to do in University of Maryland? 
Me: I want to pursue Masters of Engineering with a specialization in Cybersecurity from University of Maryland
VO: What are you doing currently?
Me: I am working remotely as a Software Development Intern with xx company for their yyy Research Center. 
Vo: How are you going to fund your education? 
Me: My family is going to fund my education and I also have an sanctioned education loan
VO: What do your parents do?
Me: My father is in the Wedding Photography and Printing Business for the past 24 years. My mother is a housemakere but she is going to support me with her savings. 
VO: What is the combined annual income? 
Me: Their combined income is 11 LPA for my father and grandfather
VO: congrats your visa is approved. Please follow the quarantine rules.
Me: Thank you officer!
@f1interviewreviews",1298,delhi,approved,"['vo: what are going to do in university of maryland? ', 'vo: what are you doing currently?', 'vo: how are you going to fund your education? ', 'vo: what do your parents do?', 'vo: what is the combined annual income? ']",University of Maryland,9th July
-1001285729190,"Hey guys, please help me with what all things I should change for my second interview. 
7th July 
Mumbai (Regular) 
Slot  : 8:10  am 
Counter : 33 (The bald guy) 
Status - Rejected 
University – Northeastern University (MSIS) 
http://t.me/f1interviewreviews
VO : Pass me your passport and I20  
Me : Passed.  
VO : What does your father do?  
Me : He is a businessman. (Told the details as well) 
VO : What is his annual income? 
Me : 8LPA. 
VO : How much savings does he have? 
Me : 25 lakhs. 
VO : Now, looking at my I20, how much loan have you taken. 
Me : 90000 USD 
VO : Can you convert it in Rs? 
Me : Its around 63 Lakhs. 
VO : Why do you want to go in so much debt at this time? (This is the question which threw me off and everything went downhill from here) 
Me : I tried to explain that I am not going to use the whole amount, I have taken extra just as a backup. 
VO : How much are you planning to use then? 
Me : Around 50 - 60 thousand USD. 
VO : Tell me exactly how much? 
Me : 60000 USD 
VO : You could have gone for a cheaper university, why this? 
Me : So, I tried to answer with my interests aligning with this university and program and he cut me off after 3-4 words only. 
VO : I know that you have prepared some answers but I don't want to hear them. Just tell me why this university? 
Me : I was blank for 10-15 seconds like what does this guy want to hear and then some how I tried to answer but again he cut me off. 
VO : Hmm.. Ok.. After typing for 2-3 mins he told me you are not eligible for visa right now and handed me that 214b slip. 
Me : Can you please tell me the reason? 
VO : You are ineligible for VISA right now. 
I couldn't say a single word and left in utter shock like what did just happen, why did I go blank at his question. 
I am planning to try one more time in August in Kolkata embassy for the same university as I don't have other admits (I deferred this one only from 2020 because of pandemic). 
Also I have 7.5 years of work ex.
@f1interviewreviews",1998,mumbai,rejected,"['vo : what does your father do?  ', 'vo : what is his annual income? ', 'vo : how much savings does he have? ', 'vo : why do you want to go in so much debt at this time? (this is the question which threw me off and everything went downhill from here) ', 'vo : how much are you planning to use then? ']",Northeastern University,
